hour_of_day,day_of_week,rain_intensity,high_risk_bottleneck
10,3,0,1
9,5,0,0
6,5,0,0
10,0,2,1
15,3,0,0
10,0,0,1
9,5,0,0
11,6,0,1
15,4,0,0
9,1,0,0
19,5,0,0
12,2,2,1
12,1,0,1
7,5,0,0
8,4,2,1
6,0,1,0
13,6,0,0
14,6,0,0
9,1,1,0
11,4,0,1
14,6,0,0
11,6,1,1
19,3,0,0
17,2,0,0
17,1,0,0
17,0,0,0
14,6,1,0
9,3,0,0
13,4,1,1
14,6,0,0
9,2,0,0
10,0,0,1
19,4,1,0
13,4,2,1
17,1,0,0
15,6,0,0
19,1,0,0
11,0,1,1
17,6,0,0
12,5,0,1
8,6,0,0
12,5,0,0
17,4,0,0
19,1,0,0
13,2,1,1
15,6,0,0
11,2,0,1
15,6,0,0
14,4,0,1
18,1,1,0
11,0,0,1
17,0,0,0
14,0,0,1
18,6,0,0
9,6,0,0
13,2,0,1
16,1,0,0
9,6,1,0
7,1,0,0
15,2,0,0
16,6,1,0
14,0,0,1
10,0,0,1
9,4,0,0
7,5,0,0
6,3,0,0
16,5,0,0
12,6,1,1
11,1,0,1
7,6,0,0
13,1,0,1
16,1,0,0
9,5,0,0
13,3,0,1
12,4,0,1
10,5,1,0
15,3,0,0
15,0,1,0
17,0,1,0
13,1,0,1
19,2,1,0
14,6,1,0
10,6,0,1
15,1,2,1
10,2,0,1
7,3,0,0
10,0,1,1
8,6,0,0
12,5,0,1
15,2,0,0
10,3,1,1
13,0,1,1
6,5,0,0
8,2,2,1
8,1,0,0
14,1,0,1
10,1,0,1
17,6,1,0
14,3,0,1
18,1,0,0
14,6,1,1
6,4,2,1
7,6,0,0
10,0,0,1
9,6,2,0
15,3,1,0
14,5,0,1
12,6,1,0
11,1,1,1
12,0,2,1
6,2,1,0
6,1,0,0
13,0,0,1
18,4,0,0
18,2,0,0
7,4,1,0
17,5,2,0
15,0,0,0
16,4,0,0
14,5,0,0
12,0,0,1
11,0,0,1
6,4,0,0
6,0,0,0
7,1,0,0
11,0,0,1
19,3,1,0
11,5,0,0
7,0,0,0
6,3,0,0
15,0,0,0
10,0,1,1
10,4,0,1
7,1,1,0
11,5,0,1
14,1,0,1
7,2,0,0
15,4,1,0
7,4,0,0
8,1,2,1
18,6,0,0
12,4,0,1
11,1,1,1
17,4,2,1
13,0,0,1
13,1,0,1
11,1,0,1
17,3,0,0
16,4,2,1
15,4,0,0
8,1,0,0
8,0,2,1
6,0,1,0
12,5,0,0
10,0,2,1
9,4,0,0
15,6,0,0
9,3,2,1
19,1,0,0
9,2,0,0
11,3,0,1
13,6,1,1
13,2,0,1
10,3,0,1
11,0,0,1
9,4,0,0
17,6,0,0
19,2,1,0
16,6,0,0
18,3,0,0
14,4,0,1
13,6,0,1
15,2,1,0
17,1,0,0
15,3,0,0
6,1,0,0
7,0,0,0
14,1,0,1
13,1,1,1
19,5,0,0
8,3,1,0
13,0,0,1
17,1,0,0
6,4,0,0
15,2,1,0
9,1,0,0
8,0,0,0
11,1,0,1
12,2,1,1
9,0,0,0
12,3,0,1
14,0,1,1
16,3,1,0
7,0,0,0
16,6,0,0
8,2,0,0
10,2,0,1
8,0,1,0
16,6,0,0
13,1,1,1
17,2,0,0
15,3,0,0
13,3,0,1
13,4,2,1
17,5,0,0
17,6,0,0
14,5,0,1
9,5,2,0
10,3,1,1
10,4,0,1
13,5,0,1
12,5,1,1
14,0,1,1
19,0,0,0
13,0,0,1
7,1,0,0
15,5,0,0
17,1,1,0
9,4,0,0
11,6,0,1
17,3,0,0
7,5,1,0
12,3,0,1
8,6,0,0
18,0,0,0
8,5,0,0
16,2,0,0
7,1,1,0
16,1,0,0
13,5,0,0
11,6,0,0
6,0,0,0
17,1,0,0
6,0,0,0
12,4,0,1
13,3,0,1
10,6,1,1
17,2,0,0
16,3,0,0
10,3,0,1
9,4,1,0
19,1,0,0
11,2,1,1
19,1,0,0
11,5,1,1
8,3,0,0
14,5,0,0
17,0,0,0
16,3,0,0
19,1,2,1
12,3,0,1
6,0,2,1
18,4,0,0
12,5,0,0
10,5,0,0
10,1,0,1
19,3,2,1
18,1,0,0
7,4,0,0
9,3,2,1
17,3,0,0
11,1,0,1
15,1,0,0
16,0,0,0
12,6,0,0
16,6,0,0
10,4,0,1
14,6,1,0
8,0,0,0
6,5,2,0
9,3,0,0
14,1,0,1
9,3,0,0
7,3,0,0
15,2,0,0
19,5,1,0
19,2,1,0
10,6,0,1
8,3,0,0
18,1,0,0
17,3,0,0
18,5,0,0
14,2,1,1
9,1,0,0
11,3,2,1
7,4,0,0
11,5,0,0
8,5,0,0
17,4,0,0
17,3,0,0
14,5,0,1
16,1,1,0
7,3,1,0
17,3,0,0
17,2,1,0
14,5,0,1
10,5,1,1
13,4,0,1
7,2,0,0
11,6,0,1
8,2,0,0
17,5,0,0
17,3,0,0
19,2,0,0
15,4,0,0
10,2,0,1
17,4,0,0
13,6,0,0
15,2,0,0
19,4,1,0
6,2,0,0
10,6,0,1
8,2,0,0
9,1,0,0
7,4,0,0
14,6,0,0
8,4,0,0
7,4,1,0
15,0,0,0
16,6,1,0
14,2,0,1
12,4,0,1
11,5,0,1
6,0,0,0
10,1,0,1
17,4,0,0
16,4,0,0
19,0,2,1
16,2,2,1
8,5,0,0
6,1,2,1
9,4,0,0
18,2,0,0
7,6,0,0
7,5,0,0
8,6,0,0
13,5,2,1
13,1,0,1
17,3,0,0
12,5,1,0
11,3,0,1
14,6,0,0
9,5,0,0
17,1,0,0
6,0,0,0
13,1,0,1
12,1,0,1
12,0,2,1
8,0,1,0
9,2,0,0
15,5,0,0
14,6,0,1
11,2,2,1
10,0,0,1
8,3,0,0
14,6,1,1
10,3,2,1
10,1,0,1
19,4,0,0
9,1,0,0
19,1,0,0
9,4,0,0
17,5,0,0
6,0,0,0
12,3,0,1
14,1,0,1
8,4,0,0
17,2,0,0
18,1,1,0
7,3,0,0
8,0,0,0
6,1,0,0
11,1,0,1
16,5,0,0
16,4,1,0
12,2,0,1
16,2,1,0
16,6,0,0
7,0,0,0
13,6,2,1
19,3,0,0
11,0,0,1
19,1,0,0
9,1,0,0
10,2,1,1
13,3,1,1
19,4,1,0
8,3,0,0
8,1,0,0
19,4,0,0
19,3,1,0
16,3,0,0
9,4,0,0
6,1,1,0
14,3,0,1
13,4,0,1
13,5,1,1
19,5,0,0
15,1,0,0
11,4,0,1
12,5,0,0
11,4,1,1
14,3,0,1
8,1,0,0
19,5,0,0
8,6,2,0
8,3,0,0
15,6,0,0
8,6,0,0
14,0,0,1
17,0,0,0
9,1,0,0
18,5,0,0
12,5,0,1
19,5,1,0
14,4,0,1
16,3,0,0
17,5,0,0
12,3,1,1
14,1,1,1
17,6,0,0
8,5,2,0
9,1,0,0
19,5,0,0
13,0,0,1
11,2,2,1
10,1,0,1
18,5,1,0
9,2,0,0
13,1,0,1
6,4,0,0
19,5,1,0
14,4,0,1
6,0,0,0
13,5,0,1
9,6,1,0
14,0,0,1
19,2,0,0
16,1,0,0
10,3,2,1
8,0,1,0
14,3,1,1
16,3,0,0
19,1,0,0
19,2,2,1
14,1,0,1
9,5,0,0
16,0,0,0
9,3,2,1
17,1,0,0
13,1,0,1
7,1,1,0
14,0,0,1
18,2,0,0
19,6,2,0
11,1,2,1
14,0,1,1
13,3,0,1
12,5,0,1
18,6,2,0
19,4,0,0
6,6,1,0
19,6,2,0
17,0,0,0
8,4,1,0
16,1,1,0
19,1,0,0
7,6,0,0
10,0,0,1
10,4,0,1
10,1,0,1
9,3,0,0
10,2,1,1
8,2,2,1
17,1,0,0
6,4,0,0
10,5,0,1
18,1,2,1
14,5,0,0
18,5,0,0
14,4,2,1
9,5,0,0
8,3,2,1
6,4,2,1
7,1,2,1
13,6,0,0
6,3,0,0
13,0,1,1
18,2,0,0
12,1,0,1
13,1,0,1
17,1,0,0
11,3,0,1
17,0,0,0
19,6,0,0
14,4,0,1
8,0,0,0
15,3,0,0
9,1,0,0
18,2,0,0
11,1,0,1
13,4,0,1
10,5,0,1
8,2,0,0
11,1,0,1
9,6,0,0
14,2,1,1
18,5,0,0
8,0,2,1
9,3,0,0
12,1,2,1
12,4,0,1
17,0,0,0
17,1,0,0
9,0,0,0
11,4,0,1
17,1,0,0
18,5,0,0
8,5,0,0
11,4,1,1
17,2,0,0
7,4,2,1
13,2,0,1
7,1,0,0
16,2,0,0
12,1,0,1
14,1,0,1
6,6,0,0
13,3,0,1
12,1,2,1
11,2,0,1
11,3,2,1
11,3,2,1
14,1,1,1
7,4,0,0
6,4,0,0
18,5,0,0
17,3,0,0
11,1,0,1
15,6,0,0
16,4,0,0
13,6,0,0
8,1,1,0
17,1,0,0
15,3,0,0
6,6,1,0
14,5,0,1
18,3,0,0
18,0,1,0
6,6,0,0
8,4,0,0
13,4,0,1
19,4,0,0
8,2,0,0
18,1,0,0
9,3,0,0
13,4,0,1
6,0,1,0
18,4,0,0
18,5,1,0
11,1,0,1
6,6,1,0
19,1,0,0
6,6,0,0
19,6,0,0
13,3,1,1
16,2,0,0
9,6,0,0
17,6,0,0
6,3,1,0
15,4,0,0
12,5,0,1
10,0,0,1
10,3,0,1
6,2,2,1
19,3,1,0
15,1,0,0
16,4,0,0
11,4,1,1
19,6,0,0
14,4,2,1
14,4,0,1
13,4,0,1
10,4,0,1
6,0,0,0
14,2,2,1
6,6,0,0
13,4,1,1
10,6,0,1
8,2,1,0
16,5,0,0
12,4,1,1
12,6,0,1
14,3,1,1
12,6,0,0
18,4,0,0
16,1,1,0
19,0,0,0
8,3,0,0
16,3,0,0
18,1,0,0
19,4,0,0
18,0,0,0
6,3,0,0
13,0,0,1
17,3,0,0
8,4,2,1
17,5,0,0
13,3,0,1
13,5,0,0
18,3,0,0
10,2,0,1
18,4,0,0
17,1,0,0
18,5,0,0
6,1,0,0
18,4,1,0
15,6,0,0
12,1,0,1
17,4,0,0
15,1,1,0
10,5,1,0
13,2,2,1
14,1,0,1
16,5,0,0
19,3,0,0
12,4,1,1
19,0,2,1
18,6,0,0
12,0,0,1
6,4,0,0
9,2,0,0
7,1,0,0
7,2,0,0
7,0,0,0
9,6,0,0
19,5,0,0
6,6,0,0
9,4,0,0
7,4,0,0
10,2,1,1
8,5,1,0
17,2,0,0
13,1,0,1
9,3,0,0
6,5,0,0
6,3,1,0
17,6,1,0
15,1,0,0
8,3,2,1
14,0,2,1
12,6,1,0
7,3,0,0
18,1,0,0
14,3,0,1
15,4,0,0
7,2,0,0
8,0,1,0
16,4,0,0
18,4,2,1
15,1,0,0
19,2,0,0
7,2,1,0
8,5,0,0
11,6,0,1
14,0,2,1
14,6,1,1
12,1,0,1
17,0,1,0
8,5,0,0
9,3,1,0
11,4,1,1
16,0,0,0
10,6,0,0
7,4,0,0
18,1,0,0
11,6,2,1
8,3,0,0
19,1,1,0
13,3,1,1
7,3,2,1
6,4,1,0
14,1,0,1
19,1,0,0
17,0,0,0
8,6,0,0
16,1,0,0
6,0,0,0
12,2,0,1
18,2,2,1
15,2,1,0
10,5,0,1
10,1,0,1
19,5,0,0
6,6,0,0
14,1,1,1
12,0,0,1
13,5,1,0
14,5,0,0
11,6,0,1
17,5,0,0
10,3,0,1
11,0,0,1
16,2,1,0
7,0,1,0
9,3,0,0
8,6,1,0
18,6,0,0
12,1,2,1
14,0,0,1
10,6,1,0
11,5,0,0
15,6,0,0
19,6,0,0
17,6,0,0
17,6,0,0
7,2,0,0
8,2,2,1
8,1,1,0
17,6,1,0
17,0,1,0
14,3,2,1
12,1,0,1
13,0,0,1
16,6,1,0
15,4,1,0
16,6,0,0
14,2,0,1
11,3,0,1
9,5,2,0
17,3,0,0
6,5,2,0
13,3,2,1
12,2,0,1
7,5,0,0
13,0,0,1
17,5,0,0
10,1,0,1
12,0,1,1
9,1,0,0
10,6,0,1
13,3,0,1
6,0,2,1
6,3,0,0
9,6,2,0
8,4,0,0
18,3,0,0
15,6,0,0
17,3,0,0
7,6,0,0
17,1,0,0
8,6,0,0
16,5,0,0
16,4,0,0
19,3,1,0
16,6,0,0
6,6,0,0
6,3,2,1
11,4,1,1
10,4,2,1
13,6,0,1
7,0,1,0
9,1,0,0
13,4,0,1
17,4,1,0
11,2,0,1
6,5,0,0
9,4,0,0
6,1,1,0
18,5,0,0
7,5,0,0
10,3,0,1
19,3,0,0
13,3,2,1
13,3,0,1
16,2,0,0
8,4,2,1
16,3,0,0
18,6,0,0
9,0,1,0
15,3,0,0
16,4,0,0
19,3,1,0
11,2,1,1
16,1,1,0
16,1,2,1
15,4,1,0
8,6,1,0
7,1,1,0
11,1,0,1
16,0,0,0
18,4,1,0
10,6,0,1
19,4,0,0
15,1,0,0
10,1,0,1
15,1,0,0
18,5,1,0
10,2,2,1
15,3,1,0
17,2,1,0
10,4,0,1
8,0,0,0
12,3,0,1
11,0,0,1
9,6,0,0
7,5,0,0
17,4,0,0
14,5,0,1
6,4,2,1
18,0,0,0
18,0,0,0
16,0,0,0
19,4,0,0
9,1,0,0
6,0,0,0
18,5,0,0
11,6,2,1
9,3,0,0
10,4,2,1
10,5,1,1
14,2,0,1
6,6,1,0
18,2,0,0
7,3,0,0
18,1,0,0
11,0,1,1
10,4,0,1
16,5,2,0
12,0,1,1
8,5,2,0
8,4,0,0
15,2,2,1
7,0,0,0
18,3,0,0
8,1,1,0
15,3,1,0
6,1,0,0
10,6,0,0
19,5,0,0
17,0,0,0
10,0,0,1
17,6,0,0
16,1,0,0
12,2,2,1
9,4,0,0
8,3,1,0
6,6,2,0
17,5,0,0
13,6,0,0
18,3,0,0
8,3,1,0
18,5,0,0
7,5,0,0
16,0,0,0
9,3,0,0
8,4,0,0
18,4,2,1
6,1,0,0
8,6,2,0
17,5,2,0
7,0,0,0
13,4,0,1
11,2,1,1
14,0,1,1
13,0,0,1
15,4,2,1
8,2,0,0
10,1,0,1
12,4,0,1
10,2,0,1
13,0,0,1
17,2,0,0
10,0,0,1
6,6,0,0
10,4,1,1
9,5,1,0
11,4,0,1
8,6,0,0
16,3,0,0
10,3,0,1
7,3,0,0
16,4,0,0
11,1,1,1
18,4,2,1
17,6,0,0
11,6,1,0
10,5,0,0
11,2,0,1
16,4,1,0
12,4,0,1
17,0,0,0
10,6,1,1
6,0,1,0
13,0,1,1
9,4,1,0
14,1,2,1
19,2,0,0
15,2,0,0
17,6,0,0
11,5,0,0
6,6,0,0
8,1,0,0
8,1,0,0
15,2,0,0
17,3,2,1
17,0,0,0
9,0,0,0
11,2,1,1
12,6,1,1
15,1,0,0
9,6,0,0
11,5,0,0
16,3,0,0
6,2,0,0
19,0,0,0
13,4,0,1
12,6,0,0
16,1,0,0
16,4,2,1
14,5,2,1
8,2,0,0
7,6,0,0
6,0,0,0
8,6,0,0
10,3,0,1
19,4,0,0
16,3,0,0
7,5,0,0
17,0,0,0
8,4,0,0
9,5,0,0
12,3,0,1
18,3,0,0
8,4,0,0
14,0,0,1
13,3,0,1
9,2,0,0
18,5,0,0
6,4,0,0
6,1,0,0
6,1,0,0
6,0,1,0
13,2,2,1
8,3,2,1
11,1,0,1
8,0,2,1
16,5,0,0
10,2,0,1
18,2,0,0
19,6,1,0
18,0,0,0
12,0,1,1
7,6,0,0
11,3,0,1
18,0,0,0
11,6,0,0
16,3,0,0
8,3,0,0
11,4,0,1
15,2,0,0
15,5,0,0
19,2,1,0
10,2,0,1
17,4,0,0
7,3,0,0
14,3,0,1
13,0,2,1
8,4,1,0
13,0,0,1
19,4,0,0
14,0,1,1
19,1,1,0
8,6,1,0
8,2,1,0
7,2,0,0
13,5,0,1
15,6,0,0
6,3,0,0
13,5,0,1
12,1,0,1
19,5,0,0
12,2,0,1
8,3,0,0
6,1,0,0
9,2,0,0
14,6,1,0
10,0,1,1
6,4,0,0
10,1,0,1
18,3,0,0
13,5,0,1
13,6,0,0
10,5,0,1
17,1,1,0
14,6,0,0
6,3,0,0
9,1,0,0
8,3,0,0
7,5,0,0
13,2,1,1
12,6,0,0
14,0,0,1
7,2,0,0
19,0,0,0
19,5,0,0
9,6,0,0
19,2,0,0
11,2,0,1
16,1,1,0
8,4,0,0
13,5,0,0
8,3,0,0
19,5,0,0
17,3,0,0
18,6,0,0
18,3,0,0
7,0,0,0
18,3,0,0
18,3,0,0
8,1,0,0
16,2,1,0
11,5,2,1
7,5,0,0
13,6,0,1
6,6,1,0
12,3,0,1
7,4,0,0
15,5,1,0
17,6,0,0
11,3,2,1
17,6,1,0
7,0,0,0
7,0,1,0
15,6,0,0
18,0,0,0
13,6,1,1
17,3,0,0
7,1,1,0
12,4,1,1
8,3,2,1
13,1,1,1
12,1,0,1
19,5,0,0
13,3,1,1
19,3,0,0
12,6,0,1
16,1,0,0
11,1,1,1
18,1,1,0
12,6,0,1
10,5,0,0
12,3,0,1
6,1,0,0
6,0,0,0
14,3,0,1
19,6,0,0
10,5,0,1
18,0,0,0
10,6,0,1
8,2,2,1
10,3,0,1
8,2,0,0
14,6,0,1
14,6,0,1
11,6,0,1
6,1,0,0
12,5,0,1
12,1,0,1
19,5,1,0
15,4,0,0
15,1,0,0
9,2,1,0
13,5,0,1
11,1,1,1
9,3,2,1
9,6,0,0
7,5,2,0
19,5,1,0
7,1,2,1
17,4,0,0
19,1,0,0
9,2,1,0
10,2,0,1
13,5,0,1
11,5,0,0
19,1,0,0
9,2,0,0
18,2,1,0
16,4,2,1
12,3,0,1
13,4,2,1
7,0,2,1
17,6,0,0
12,4,0,1
19,1,1,0
7,3,0,0
7,1,1,0
13,6,1,1
7,0,0,0
16,3,0,0
14,5,0,1
17,2,0,0
6,4,0,0
14,1,1,1
6,0,0,0
15,2,2,1
18,4,0,0
15,2,1,0
7,4,0,0
11,5,2,1
11,3,1,1
6,2,0,0
12,2,2,1
13,2,0,1
7,3,0,0
13,0,0,1
14,4,1,1
11,5,0,1
10,2,0,1
17,6,1,0
14,3,1,1
18,0,0,0
17,4,0,0
16,3,0,0
14,5,1,1
6,5,1,0
16,4,0,0
8,2,0,0
14,5,0,1
16,0,1,0
7,3,0,0
17,0,0,0
9,2,0,0
9,0,0,0
7,0,0,0
8,1,0,0
18,0,2,1
8,4,0,0
6,3,0,0
11,1,2,1
13,3,0,1
17,3,0,0
8,2,0,0
10,2,1,1
6,1,0,0
15,5,1,0
12,6,0,0
15,2,0,0
18,6,1,0
6,2,2,1
17,2,0,0
16,3,1,0
14,1,0,1
13,3,0,1
12,4,0,1
15,3,0,0
12,6,0,0
10,6,0,1
10,4,0,1
16,0,0,0
18,0,2,1
10,4,2,1
6,4,1,0
13,3,0,1
17,4,0,0
16,1,1,0
6,0,2,1
9,0,0,0
14,5,1,0
19,4,2,1
14,2,1,1
10,2,0,1
9,4,0,0
8,1,0,0
8,2,0,0
17,5,0,0
10,6,0,1
15,4,1,0
6,1,0,0
10,1,0,1
11,3,0,1
12,1,0,1
17,2,1,0
14,6,0,1
8,2,1,0
7,4,0,0
19,6,0,0
8,4,1,0
17,1,0,0
14,5,0,1
17,0,0,0
12,6,0,1
14,3,0,1
18,0,1,0
7,1,0,0
10,1,2,1
18,0,0,0
9,3,0,0
7,6,0,0
14,6,0,1
14,0,0,1
11,4,0,1
16,2,0,0
11,5,1,0
13,4,0,1
11,6,1,1
6,2,0,0
9,5,0,0
18,5,0,0
12,5,0,1
18,1,1,0
18,5,0,0
7,3,0,0
14,0,0,1
13,6,0,1
13,3,0,1
12,0,1,1
9,4,0,0
7,4,2,1
8,0,1,0
17,3,0,0
11,0,0,1
17,5,0,0
17,1,0,0
10,6,0,0
17,4,2,1
13,6,0,0
11,1,0,1
11,5,0,1
6,5,0,0
9,4,1,0
10,4,0,1
17,5,0,0
16,2,0,0
8,6,1,0
18,1,0,0
14,6,2,1
6,1,0,0
11,2,0,1
11,3,0,1
15,1,0,0
10,6,0,0
17,0,0,0
10,5,0,0
15,5,0,0
19,2,0,0
18,1,0,0
10,3,1,1
11,1,0,1
13,5,0,1
7,4,0,0
11,0,1,1
6,2,1,0
9,4,0,0
19,6,0,0
15,3,1,0
8,4,2,1
14,6,0,0
8,4,2,1
11,3,0,1
6,4,1,0
17,2,0,0
11,5,0,1
9,1,0,0
13,4,1,1
18,2,2,1
16,1,0,0
14,6,0,1
9,1,0,0
15,6,0,0
17,4,0,0
15,2,0,0
11,5,2,1
6,4,0,0
9,6,0,0
12,3,0,1
17,1,0,0
6,4,1,0
13,6,0,0
17,1,0,0
15,6,0,0
17,2,0,0
16,0,0,0
11,4,0,1
10,5,0,1
15,4,0,0
16,1,0,0
19,2,0,0
14,6,0,1
7,3,0,0
10,5,2,1
11,2,0,1
12,4,0,1
10,3,0,1
14,2,0,1
6,0,0,0
12,5,1,0
15,1,0,0
12,2,0,1
9,2,0,0
14,0,2,1
19,4,0,0
17,6,0,0
16,6,2,0
10,5,1,0
9,5,1,0
18,1,0,0
12,2,0,1
9,3,0,0
8,2,0,0
14,6,0,0
16,1,1,0
13,2,1,1
6,0,0,0
12,6,0,1
14,2,0,1
13,2,1,1
13,6,0,1
18,3,1,0
11,6,0,0
16,0,0,0
9,0,1,0
13,2,0,1
8,5,0,0
18,3,1,0
14,2,0,1
18,6,0,0
7,2,0,0
7,1,0,0
17,1,1,0
18,5,1,0
17,3,1,0
12,4,0,1
17,1,0,0
15,4,0,0
9,0,1,0
15,1,0,0
13,1,0,1
14,3,1,1
12,5,0,1
10,4,0,1
13,6,0,0
9,1,1,0
7,1,0,0
16,3,2,1
17,3,0,0
11,5,2,1
14,4,0,1
6,0,0,0
16,6,1,0
15,5,1,0
17,0,0,0
12,2,1,1
15,1,1,0
14,4,0,1
15,5,0,0
14,1,1,1
15,4,0,0
16,4,0,0
18,4,1,0
8,1,0,0
16,5,0,0
18,6,2,0
10,3,0,1
13,1,1,1
13,4,1,1
9,5,0,0
17,6,0,0
16,2,0,0
16,0,0,0
6,4,0,0
6,2,0,0
9,3,0,0
11,6,0,0
13,6,0,0
11,4,0,1
17,6,0,0
14,2,0,1
14,4,0,1
19,1,0,0
7,5,0,0
15,2,1,0
6,5,0,0
7,1,0,0
10,1,0,1
9,5,0,0
9,2,0,0
14,5,2,1
16,5,0,0
13,0,2,1
11,2,0,1
6,0,0,0
7,4,0,0
11,6,0,1
16,5,0,0
7,4,0,0
18,2,0,0
15,5,0,0
10,6,0,1
19,4,0,0
10,3,0,1
11,1,0,1
11,5,1,0
19,6,0,0
11,1,0,1
19,0,0,0
7,4,1,0
19,0,0,0
15,6,0,0
19,5,0,0
18,1,0,0
19,1,0,0
8,4,0,0
19,5,1,0
11,3,0,1
18,3,0,0
13,4,0,1
17,5,0,0
18,4,0,0
16,5,0,0
17,6,0,0
6,6,0,0
6,0,0,0
16,4,0,0
18,5,0,0
7,3,0,0
16,5,2,0
17,6,0,0
17,5,0,0
11,4,2,1
14,0,0,1
9,0,2,1
8,0,0,0
17,0,0,0
13,6,0,1
16,2,1,0
15,4,0,0
19,1,2,1
14,4,0,1
17,2,1,0
16,0,0,0
10,2,0,1
14,3,2,1
7,3,2,1
8,6,0,0
12,4,0,1
12,4,0,1
11,1,0,1
11,6,0,1
7,1,0,0
15,3,0,0
11,0,1,1
9,2,0,0
17,1,0,0
8,5,0,0
18,1,0,0
16,0,0,0
18,0,0,0
7,4,0,0
6,2,1,0
16,0,0,0
16,6,2,0
10,1,1,1
7,1,1,0
7,3,0,0
12,0,0,1
13,5,0,1
18,4,0,0
15,2,0,0
13,5,0,1
19,4,0,0
9,1,0,0
19,5,0,0
6,4,2,1
16,1,0,0
12,1,0,1
6,1,0,0
16,1,1,0
9,6,0,0
13,1,0,1
7,3,0,0
11,5,0,1
18,4,0,0
11,3,1,1
17,6,1,0
14,3,1,1
10,0,1,1
15,0,0,0
9,0,1,0
10,2,0,1
17,0,0,0
17,4,0,0
15,3,0,0
16,4,0,0
10,5,0,1
13,0,0,1
15,6,1,0
17,2,0,0
13,5,0,1
7,6,1,0
12,2,0,1
13,5,1,0
16,3,0,0
11,4,2,1
10,1,0,1
16,4,0,0
14,0,0,1
18,6,0,0
8,1,2,1
17,2,0,0
18,3,0,0
